      1,      0.00,
      2,      0.00,
      3,      0.00,
      4,      0.00,
      5,      0.00,
      6,      0.00,
      7,      0.00,
      8,      0.00,
      9,      0.00,
     10,      0.00,
     11,      0.00,
     12,      0.00,
     13,      0.00,
     14,      0.00,
     15,      0.00,
     16,      0.00,
     17,      0.00,
     18,      0.00,
     19,      0.00,
     20,      0.00,
     21,      0.00,
     22,      0.00,
     23,      0.00,
     24,      0.00,
     25,      0.00,
     26,      0.00,
     27,      0.00,
     28,      0.00,
     29,      0.00,
     30,      0.00,
     31,      0.00,
     32,      0.00,
     33,      0.00,
     34,      0.00,
     35,      0.00,
     36,      0.00,
     37,      0.00,
     38,      0.00,
     39,      0.00,
     40,      0.00,
     41,      0.00,
     42,      0.00,
     43,      0.00,
     44,      0.00,
     45,      0.00,
     46,      0.00,
     47,      0.00,
     48,      0.00,
     49,      0.00,
     50,      0.00,
     51,      0.00,
     52,      0.00,
     53,      0.00,
     54,      0.00,
     55,      0.02,
     56,      0.04,
     57,      0.06,
     58,      0.08,
     59,      0.10,
     60,      0.12,
     61,      0.15,
     62,      0.17,
     63,      0.19,
     64,      0.21,
     65,      0.23,
     66,      0.25,
     67,      0.27,
     68,      0.29,
     69,      0.31,
     70,      0.33,
     71,      0.35,
     72,      0.37,
     73,      0.40,
     74,      0.42,
     75,      0.42,
     76,      0.42,
     77,      0.42,
     78,      0.42,
     79,      0.42,
     80,      0.42,
     81,      0.42,
     82,      0.42,
     83,      0.42,
     84,      0.42,
     85,      0.42,
     86,      0.42,
     87,      0.42,
     88,      0.42,
     89,      0.42,
     90,      0.42,
     91,      0.42,
     92,      0.42,
     93,      0.42,
     94,      0.42,
     95,      0.42,
     96,      0.42,
     97,      0.42,
     98,      0.42,
     99,      0.42,
    100,      0.42,
    101,      0.42,
    102,      0.42,
    103,      0.42,
    104,      0.42,
    105,      0.42,
    106,      0.42,
    107,      0.42,
    108,      0.42,
    109,      0.42,
    110,      0.42,
    111,      0.42,
    112,      0.42,
    113,      0.42,
    114,      0.42,
    115,      0.42,
    116,      0.42,
    117,      0.42,
    118,      0.42,
    119,      0.42,
